Field,Description,Type,Coverage,Users,Alphas
pv13_reportperiodend,Stated end date for the report,Vector,99%,0,0
pv13_reportperiodlen,The number of units which the report covers prior to the stated end date,Vector,99%,0,0
pv13_reporttype,Type of report,Vector,99%,0,0
pv13_revere_city,City code,Matrix,99%,69,195
pv13_revere_company_total,Total number of companies in the sector,Matrix,62%,40,55
pv13_revere_comproduct_company,Company product,Matrix,40%,9,9
pv13_revere_country,Country code,Matrix,100%,50,144
pv13_revere_index_cap,Company market capitalization,Matrix,100%,180,246
pv13_revere_index_value,Value of specified index for the date,Matrix,100%,40,51
pv13_revere_key_sector_total,Number of key focus sectors for the company,Matrix,100%,143,349
pv13_revere_level,Level of the sector within the hierarchy,Matrix,62%,62,117
pv13_revere_parent,Code of parent sector,Matrix,62%,10,12
pv13_revere_term,"Indicates when a sector is the terminal sector (i.e., no sub-sectors)",Matrix,41%,68,173
pv13_revere_term_sector_total,Number of terminal sectors for the company,Matrix,100%,96,202
pv13_revere_zipcode,Zip code,Matrix,92%,58,196
pv13_reveremap,Mapping data,Matrix,100%,109,268
pv13_rha2_min10_1000_513_sector,grouping fields,Group,35%,0,0
pv13_rha2_min10_3000_513_sector,grouping fields,Group,99%,7,9
pv13_rha2_min10_513_sector,grouping fields,Group,69%,1,1
pv13_rha2_min10_sector,grouping fields,Group,72%,2,2
pv13_rha2_min20_3000_513_sector,grouping fields,Group,99%,5,5
pv13_rha2_min20_513_sector,grouping fields,Group,69%,2,5
pv13_rha2_min20_sector,grouping fields,Group,72%,1,2
pv13_rha2_min2_1000_513_sector,grouping fields,Group,35%,1,1
pv13_rha2_min2_3000_513_sector,grouping fields,Group,99%,5,5
pv13_rha2_min2_513_sector,grouping fields,Group,69%,0,0
pv13_rha2_min2_sector,grouping fields,Group,72%,2,3
pv13_rha2_min30_3000_513_sector,grouping fields,Group,99%,1,1
pv13_rha2_min40_3000_513_sector,grouping fields,Group,99%,2,3
pv13_rha2_min5_1000_513_sector,grouping fields,Group,35%,2,2
pv13_rha2_min5_3000_513_sector,grouping fields,Group,99%,6,6
pv13_rha2_min5_513_sector,grouping fields,Group,69%,0,0
pv13_rha2_min5_sector,grouping fields,Group,72%,7,7
pv13_ustomergraphrank_auth_rank,the HITS authority score of customers,Matrix,79%,115,236
pv13_ustomergraphrank_hub_rank,the HITS hub score of customers,Matrix,79%,197,477
pv13_ustomergraphrank_page_rank,the PageRank of customers,Matrix,79%,145,355
rel_num_all,number of the companies whose product overlapped with the instrument,Matrix,99%,221,710
rel_num_comp,number of the instrument's competitors,Matrix,89%,323,775
rel_num_cust,number of the instrument's customers,Matrix,50%,282,790
rel_num_part,number of the instrument's partners,Matrix,78%,304,764
rel_ret_all,Averaged one-day return of the companies whose product overlapped with the instrument,Matrix,96%,221,797
rel_ret_comp,Averaged one-day return of the competing companies,Matrix,82%,709,1172
rel_ret_cust,averaged one-day-return of the instrument's customers,Matrix,49%,135,394
rel_ret_part,Averaged one-day return of the instrument's partners,Matrix,70%,260,765
