Field,Description,Type,Coverage,Users,Alphas
opt40_ivput1080,Implied volatility of the at-the-money put for the stock with an expiration 1080 calendar days from the measurement date,MATRIX,98%,17,23
opt40_ivput120,Annualized implied volatility of the at-the-money put option with expiration 120 days from the measurement date,MATRIX,98%,34,50
opt40_ivput150,Annualized implied volatility of the at-the-money put option with expiration 150 days from the measurement date,MATRIX,98%,38,73
opt40_ivput180,Annualized implied volatility of the at-the-money put option with expiration 180 days from the measurement date,MATRIX,98%,22,37
opt40_ivput20,Implied volatility of the at-the-money put for the stock with an expiration 20 calendar days from the measurement date,MATRIX,98%,35,82
opt40_ivput270,Annualized implied volatility of the at-the-money put option with expiration 270 days from the measurement date,MATRIX,98%,28,36
opt40_ivput30,Implied volatility of the at-the-money put for the stock with an expiration 30 calendar days from the measurement date,MATRIX,98%,43,61
opt40_ivput360,Annualized implied volatility of the at-the-money put option with expiration 360 days from the measurement date,MATRIX,98%,16,23
opt40_ivput60,Implied volatility of the at-the-money put for the stock with an expiration 60 calendar days from the measurement date,MATRIX,98%,48,118
opt40_ivput720,Annualized implied volatility of the at-the-money put option with expiration 720 days from the measurement date,MATRIX,98%,14,20
opt40_ivput90,Annualized implied volatility of the at-the-money put option with expiration 90 days from the measurement date,MATRIX,98%,24,32
opt40_put_delta_152days,Delta (price sensitivity to underlying) of put options at 152 days to expiry from the OptionMetrics standardized surface,MATRIX,97%,11,12
opt40_put_delta_60days,Delta of the standardized put option at 60 days to expiry on the OptionMetrics standard surface,MATRIX,97%,8,10
opt40_put_delta_730days,Delta of the put option at 730 days to expiry (price sensitivity per $1 move in the underlying),MATRIX,97%,6,7
opt40_put_forwardprice_182days,Forward price of the underlying used for the standardized 182-day tenor put point on the OptionMetrics surface; D1-lagged and masked if unreliable,MATRIX,97%,5,8
opt40_put_forwardprice_273days,Forward price of the underlying used for the standardized 273-day tenor put point on the OptionMetrics surface; D1-lagged and masked if unreliable,MATRIX,97%,6,7
opt40_put_forwardprice_365days,Forward price of the underlying used for the put option surface at 365 days to expiry,MATRIX,97%,2,5
opt40_put_forwardprice_60days,Forward price of the underlying used for the put option surface at 60 days to expiry,MATRIX,97%,5,5
opt40_put_forwardprice_91days,Forward price of the underlying used for the put option surface at 91 days to expiry,MATRIX,97%,6,6
opt40_put_gamma_152days,Gamma (second derivative of option price with respect to underlying price) for the 152-day tenor put option,MATRIX,97%,3,3
opt40_put_gamma_182days,Gamma of the put option at 182 days to expiry (change in delta per $1 move in the underlying),MATRIX,97%,7,7
opt40_put_gamma_273days,Gamma for put options with 273 days to expiration.,MATRIX,97%,8,10
opt40_put_gamma_547days,Gamma (second derivative of option price with respect to underlying price) for the 547-day tenor put option,MATRIX,97%,8,8
opt40_put_gamma_60days,Gamma (second derivative of option price with respect to underlying price) for the 60-day tenor put option,MATRIX,97%,16,27
opt40_put_gamma_91days,Gamma (second derivative of option price with respect to underlying price) for the 91-day tenor put option,MATRIX,97%,8,8
opt40_put_premium_182days,Premium for put options with 182 days to expiration.,MATRIX,97%,7,11
opt40_put_premium_273days,Premium for put options with 273 days to expiration.,MATRIX,97%,2,2
opt40_put_premium_30days,Option premium (price) for put options at 30 days to expiry from the OptionMetrics standardized surface,MATRIX,97%,1,2
opt40_put_premium_365days,Put option premium (price) at 365 days to expiry from the standard surface,MATRIX,97%,2,2
opt40_put_premium_547days,Premium for put options with 547 days to expiration.,MATRIX,97%,1,1
opt40_put_premium_60days,Premium for put options with 60 days to expiration.,MATRIX,97%,5,5
opt40_put_premium_730days,Option premium (price) for the standard 730-day tenor put option from the OptionMetrics surface,MATRIX,97%,3,3
opt40_put_strikeprice_152days,Strike price corresponding to the put option gridpoint at 152 days to expiry on the standard surface,MATRIX,97%,7,8
opt40_put_strikeprice_182days,Strike price corresponding to the 182-day tenor put option gridpoint,MATRIX,97%,6,7
opt40_put_strikeprice_30days,Strike price for put options with 30 days to expiration.,MATRIX,97%,11,15
opt40_put_strikeprice_547days,Strike price corresponding to the 547-day tenor put option gridpoint,MATRIX,97%,5,7
opt40_put_strikeprice_60days,Strike price of the standardized put option at 60 days to expiry on the OptionMetrics standard surface,MATRIX,97%,14,17
opt40_put_strikeprice_91days,Strike price corresponding to the put option gridpoint at 91 days to expiry on the standard surface,MATRIX,97%,7,8
opt40_put_theta_122days,Theta (time decay) of the standardized put option at 122 days to expiry on the OptionMetrics standard surface,MATRIX,97%,22,36
opt40_put_theta_152days,Theta (time decay per day) for the 152-day tenor put option,MATRIX,97%,12,12
opt40_put_theta_182days,Theta (time decay) of the standardized put option at 182 days to expiry on the OptionMetrics standard surface,MATRIX,97%,6,6
opt40_put_theta_273days,Theta (time decay per day) for the 273-day tenor put option,MATRIX,97%,2,2
opt40_put_theta_30days,Theta for put options with 30 days to expiration.,MATRIX,97%,7,7
opt40_put_theta_365days,Daily time decay (theta) of the put option price at 365 days to expiry,MATRIX,97%,8,8
opt40_put_theta_547days,Theta (time decay) for put options at 547 days to expiry from the OptionMetrics standardized surface,MATRIX,97%,13,13
opt40_put_theta_60days,Time decay (theta) for put options at 60 days to expiry,MATRIX,97%,10,12
opt40_put_theta_730days,Daily time decay (theta) of the put option price at 730 days to expiry,MATRIX,97%,15,20
opt40_put_theta_91days,Theta (time decay) of the standardized put option at 91 days to expiry on the OptionMetrics standard surface,MATRIX,97%,23,29
opt40_put_vega_182days,Vega (sensitivity to implied volatility) for put options at 182 days to expiry from the OptionMetrics standardized surface,MATRIX,97%,6,23
opt40_put_vega_30days,Vega (sensitivity of option price to changes in implied volatility) for the 30-day tenor put option,MATRIX,97%,5,7
opt40_put_vega_365days,Vega (sensitivity of option price to changes in implied volatility) for the 365-day tenor put option,MATRIX,97%,21,21
opt40_put_vega_547days,Vega (sensitivity to implied volatility) for put options at 547 days to expiry from the OptionMetrics standardized surface,MATRIX,97%,1,2
opt40_put_vega_60days,Vega (sensitivity to implied volatility) of the standardized put option at 60 days to expiry on the OptionMetrics standard surface,MATRIX,97%,10,18
opt40_put_vega_730days,Vega for put options with 730 days to expiration.,MATRIX,97%,6,8
opt40_put_volatility_122days,Implied volatility of the standardized put option at 122 days to expiry on the OptionMetrics standard surface,MATRIX,97%,11,11
opt40_put_volatility_152days,Implied volatility from OptionMetrics IvyDB US standardized surface for the 152-day tenor put at the ATM/forward gridpoint; D1-lagged and masked if unreliable,MATRIX,97%,17,19
opt40_put_volatility_273days,Implied volatility of the standardized put option at 273 days to expiry on the OptionMetrics standard surface,MATRIX,97%,28,32
opt40_put_volatility_547days,Implied volatility for put options at 547 days to expiry from the OptionMetrics standardized surface (annualized),MATRIX,97%,21,24
opt40_put_volatility_60days,Annualized implied volatility of the put option at 60 days to expiry,MATRIX,97%,7,11
